fid,carrierid,carrier,airport,dest,yyear,quarter,month,dayofweek,hour,crsdeptime,depdelay,depdel15,wid
1,19790,DL,ROC,ATL,1998,4,10,7,18,18:00:00,-3,0,24694
2,19790,DL,ROC,ATL,1998,4,10,1,18,18:00:00,-5,0,24695
3,19977,UA,ROC,BUF,1998,4,10,7,19,19:05:00,-6,0,53832
4,19977,UA,ROC,BUF,1998,4,10,4,19,19:05:00,-1,0,53843
5,20355,US,ROC,CLT,1998,4,10,5,10,10:45:00,-3,0,78903
6,20355,US,ROC,DCA,1998,4,10,2,17,17:20:00,14,0,103645
7,20355,US,ROC,DCA,1998,4,10,6,12,12:10:00,2,0,103710
8,20355,US,ROC,PIT,1998,4,10,1,18,18:29:00,-1,0,138013
9,20355,US,ROC,PIT,1998,4,10,5,18,18:29:00,0,0,138024
10,20355,US,ROC,PIT,1998,4,10,4,18,18:29:00,3,0,138030
11,19790,DL,ROC,SYR,1998,4,10,1,20,20:20:00,18,1,219868
12,19790,DL,ROC,SYR,1998,4,10,1,20,20:20:00,-10,0,219888
13,19790,DL,ROC,SYR,1998,4,10,2,12,12:55:00,3,0,219899
14,20355,US,ROC,LGA,1998,4,10,5,12,12:55:00,4,0,239320
15,20355,US,ROC,MCO,1998,4,10,7,14,14:30:00,2,0,254701
16,20355,US,ROC,MCO,1998,4,10,5,14,14:30:00,-2,0,254713
17,19805,AA,ROC,ORD,1998,4,10,7,17,17:01:00,0,0,322452
18,19805,AA,ROC,ORD,1998,4,10,4,17,17:01:00,7,0,322463
19,19805,AA,ROC,ORD,1998,4,10,7,13,13:25:00,-4,0,322507
20,19805,AA,ROC,ORD,1998,4,10,4,13,13:25:00,1,0,322525
21,19805,AA,ROC,ORD,1998,4,10,5,13,13:25:00,2,0,322526
22,19805,AA,ROC,ORD,1998,4,10,4,20,20:16:00,-1,0,322553
23,19977,UA,ROC,ORD,1998,4,10,4,10,10:55:00,21,1,322645
24,19977,UA,ROC,ORD,1998,4,10,5,10,10:55:00,-3,0,322646
25,19977,UA,ROC,ORD,1998,4,10,6,10,10:55:00,49,1,322647
26,19977,UA,ROC,ORD,1998,4,10,3,14,14:12:00,-4,0,322707
27,20355,US,ROC,PHL,1998,4,10,1,11,11:44:00,4,0,343510
28,19805,AA,MFE,DFW,1998,4,10,6,17,17:52:00,34,1,356239
29,19386,NW,ROC,DTW,1998,4,10,6,15,15:18:00,-1,0,377107
30,19386,NW,ROC,DTW,1998,4,10,1,15,15:18:00,-3,0,377109
31,19977,UA,ROC,IAD,1998,4,10,7,15,15:05:00,-3,0,411326
32,19704,CO,MFE,IAH,1998,4,10,3,11,11:15:00,0,0,418119
33,19704,CO,MFE,IAH,1998,4,10,4,11,11:15:00,-1,0,418132
34,19704,CO,MFE,IAH,1998,4,10,1,19,19:40:00,-4,0,418143
35,19704,CO,MFE,IAH,1998,4,10,5,17,17:01:00,2,0,418168
36,19704,CO,MFE,IAH,1998,4,10,7,17,17:01:00,330,1,418170
37,19704,CO,MFE,IAH,1998,4,10,1,13,13:48:00,-4,0,418202
38,19704,CO,MFE,IAH,1998,4,10,5,13,13:48:00,0,0,418220
39,19790,DL,ROC,ATL,1998,4,11,6,18,18:00:00,-5,0,481574
40,19977,UA,ROC,BUF,1998,4,11,4,19,19:05:00,-10,0,509305
41,20355,US,ROC,DCA,1998,4,11,1,17,17:20:00,42,1,556770
42,20355,US,ROC,PHL,1998,4,11,2,15,15:35:00,8,0,567412
43,20355,US,ROC,PHL,1998,4,11,4,15,15:35:00,-5,0,567428
44,20355,US,ROC,PHL,1998,4,11,4,11,11:44:00,-2,0,567495
45,20355,US,ROC,PHL,1998,4,11,4,19,19:15:00,27,1,567526
46,19790,DL,ROC,SYR,1998,4,11,6,20,20:20:00,-5,0,667385
47,19790,DL,ROC,SYR,1998,4,11,3,20,20:20:00,-15,0,667389
48,19790,DL,ROC,SYR,1998,4,11,1,12,12:55:00,0,0,667409
49,20355,US,ROC,LGA,1998,4,11,3,13,13:00:00,20,1,686267
50,20355,US,ROC,LGA,1998,4,11,7,16,16:30:00,2,0,686291
51,19805,AA,ROC,ORD,1998,4,11,7,20,20:05:00,-4,0,765575
52,19977,UA,ROC,ORD,1998,4,11,3,10,10:50:00,-2,0,765641
53,19977,UA,ROC,ORD,1998,4,11,1,14,14:00:00,-2,0,765754
54,19386,NW,ROC,DTW,1998,4,11,3,20,20:35:00,-3,0,817274
55,19386,NW,ROC,DTW,1998,4,11,6,10,10:20:00,-1,0,817303
56,19386,NW,ROC,DTW,1998,4,11,4,15,15:18:00,-4,0,817352
57,19977,UA,ROC,IAD,1998,4,11,3,15,15:00:00,-4,0,850157
58,19704,CO,MFE,IAH,1998,4,11,6,11,11:15:00,-3,0,856657
59,20355,US,ROC,BOS,1998,4,12,3,17,17:30:00,112,1,944536
60,19977,UA,ROC,BUF,1998,4,12,2,19,19:15:00,-1,0,947917
61,20355,US,ROC,DCA,1998,4,12,5,12,12:10:00,-3,0,997158
62,20355,US,ROC,DCA,1998,4,12,7,12,12:10:00,-6,0,997159
63,19977,UA,MTJ,DEN,1998,4,12,6,13,13:08:00,4,0,1004277
64,19790,DL,ROC,SYR,1998,4,12,1,20,20:20:00,-15,0,1112646
65,19790,DL,ROC,SYR,1998,4,12,2,13,13:00:00,-8,0,1112684
66,20355,US,ROC,LGA,1998,4,12,2,13,13:00:00,15,1,1132505
67,19790,DL,ROC,MCO,1998,4,12,5,14,14:40:00,0,0,1148108
68,19790,DL,ROC,MCO,1998,4,12,7,14,14:40:00,-4,0,1148117
69,19790,DL,ROC,MCO,1998,4,12,4,14,14:40:00,-6,0,1148121
70,20355,US,ROC,MCO,1998,4,12,4,14,14:50:00,-4,0,1148193
71,20355,US,ROC,MCO,1998,4,12,1,14,14:50:00,9,0,1148204
72,19805,AA,ROC,ORD,1998,4,12,7,10,10:01:00,-2,0,1214642
73,19805,AA,ROC,ORD,1998,4,12,5,10,10:03:00,-5,0,1214679
74,19805,AA,ROC,ORD,1998,4,12,2,20,20:00:00,-2,0,1214780
75,19977,UA,ROC,ORD,1998,4,12,7,17,17:25:00,1,0,1214795
76,19977,UA,ROC,ORD,1998,4,12,6,17,17:25:00,-3,0,1214861
77,19977,UA,ROC,ORD,1998,4,12,4,11,11:00:00,8,0,1214912
78,19977,UA,ROC,ORD,1998,4,12,3,14,14:00:00,-2,0,1214928
79,19977,UA,ROC,ORD,1998,4,12,5,14,14:00:00,1,0,1214930
80,20355,US,ROC,PHL,1998,4,12,4,15,15:35:00,192,1,1235754
81,20355,US,ROC,PHL,1998,4,12,1,11,11:44:00,3,0,1235862
82,20355,US,ROC,PHL,1998,4,12,2,11,11:44:00,57,1,1235877
83,19386,NW,ROC,DTW,1998,4,12,4,10,10:15:00,14,0,1268928
84,19386,NW,ROC,DTW,1998,4,12,5,10,10:15:00,7,0,1268929
85,19386,NW,ROC,DTW,1998,4,12,4,10,10:20:00,-2,0,1268968
86,19386,NW,ROC,DTW,1998,4,12,3,15,15:18:00,-4,0,1269008
87,19386,NW,ROC,DTW,1998,4,12,4,15,15:18:00,-1,0,1269017
88,19977,UA,ROC,IAD,1998,4,12,1,15,15:00:00,-1,0,1303788
89,19977,UA,ROC,IAD,1998,4,12,5,15,15:00:00,1,0,1303799
90,19704,CO,MFE,IAH,1998,4,12,3,17,17:03:00,36,1,1310532
91,19704,CO,MFE,IAH,1998,4,12,5,19,19:40:00,-2,0,1310576
92,19704,CO,MFE,IAH,1998,4,12,3,19,19:40:00,15,1,1310586
93,19704,CO,MFE,IAH,1998,4,12,5,13,13:42:00,5,0,1310674
94,19704,CO,MFE,IAH,1998,4,12,5,13,13:42:00,-2,0,1310681
95,19704,CO,MTJ,IAH,1998,4,12,2,14,14:35:00,-7,0,1311504
96,19704,CO,MTJ,IAH,1998,4,12,7,14,14:35:00,-3,0,1311509
97,19704,CO,MTJ,IAH,1998,4,12,2,14,14:35:00,-1,0,1311518
98,19790,DL,ROC,ATL,1998,1,2,3,17,17:40:00,-3,0,1371834
99,19790,DL,ROC,ATL,1998,1,2,1,17,17:40:00,13,0,1371839
100,19977,UA,ROC,BUF,1998,1,2,6,19,19:05:00,-14,0,1396782
101,20355,US,ROC,CLT,1998,1,2,3,11,11:10:00,39,1,1418696
