fid,carrierid,carrier,airport,dest,yyear,quarter,month,dayofweek,hour,crsdeptime,depdelay,depdel15,wid,fog,hail,hum,precipm,pressurem,lowpressure,rain,snow,heavysnow,tempm,thunder,vism,lowvisibility,wspdm,highwindspeed
3327,19790,DL,SFO,ATL,1998,4,11,4,21,21:55:00,7,0,482839,0,0,86,,1025.5,0,0,0,0,10.6,0,16.1,0,14.8,0
3328,19790,DL,SFO,ATL,1998,4,11,2,21,21:55:00,36,1,482844,0,0,80,,1024.6,0,0,0,0,11.1,0,16.1,0,5.6,0
3329,19790,DL,SFO,ATL,1998,4,11,5,23,23:40:00,14,0,482898,0,0,94,,1023.9,0,0,0,0,12,0,16.1,0,0,0
3330,19977,UA,SFO,AUS,1998,4,11,4,11,11:00:00,2,0,488520,0,0,69,,1025.6,0,0,0,0,13.9,0,16.1,0,9.3,0
3331,19977,UA,SFO,BOI,1998,4,11,4,16,16:30:00,1,0,498517,0,0,86,,1026.6,0,0,0,0,10.6,0,9.7,0,0,0
3332,19977,UA,SFO,BUR,1998,4,11,2,18,18:05:00,5,0,510976,0,0,65,,1024.8,0,0,0,0,14.4,0,16.1,0,13,0
3333,19704,CO,SFO,CLE,1998,4,11,2,12,12:25:00,12,0,523966,0,0,62,,1024.1,0,0,0,0,15,0,16.1,0,13,0
3334,19790,DL,SFO,CVG,1998,4,11,5,14,14:05:00,1,0,544744,0,0,62,,1023.8,0,0,0,0,14.4,0,16.1,0,5.6,0
3335,19790,DL,SFO,CVG,1998,4,11,1,14,14:05:00,47,1,544754,0,0,87,0.5,1007.7,1,1,0,0,16.1,0,4.8,0,35.2,
3336,19977,UA,SFO,DEN,1998,4,11,3,19,19:05:00,1,0,566430,0,0,80,,1023.5,0,0,0,0,12.8,0,16.1,0,9.3,0
3337,19977,UA,SFO,DEN,1998,4,11,2,14,14:26:00,1,0,566548,0,0,67,,1023.6,0,0,0,0,14.4,0,16.1,0,11.1,0
